用例ID,模块,子模块,优先级,测试类型,前置条件,测试数据,操作步骤,预期结果,失败判定,证据要求,自动化建议,是否修改生产,基线状态,关联Bug/修复,备注
PIPE-012,15阶段流水线,验证与质量,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段12 validation 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=验证与质量；Gate=G11；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-013,15阶段流水线,项目与商务,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段13 project_sales 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=项目与商务；Gate=G12；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-014,15阶段流水线,文档受控汇编,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段14 documentation 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=文档受控汇编；Gate=G13；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-015,15阶段流水线,总工审查与交付打包,P0,Pipeline,已启动真实QA任务,固定15阶段,观察阶段15 chief_review 从pending到执行/闸门结果；记录事件和artifact。,阶段标签=总工审查与交付打包；Gate=G14/G15；只能在前序完成后进入；产生受控阶段证据。,越序、静默跳过、重复阶段、错误Gate标签、无证据却继续。,stage-card截图+STAGE_GATED事件+artifact记录,Playwright+DB,是,NOT_RUN,,
PIPE-016,15阶段流水线,阶段计数单调,P0,State,RUNNING任务,无,每5秒读取stage-count直到终态。,0..15单调不减且不超过15。,回退、>15、跳到15但无事件。,时间序列,Playwright,否,NOT_RUN,,
PIPE-017,15阶段流水线,唯一STAGE_GATED,P0,Audit,终态任务,15 stage ids,读取浏览器events/后端events。,15个唯一stageId且顺序等于canonical。,缺失/重复/乱序。,事件数组,Playwright/API,否,NOT_RUN,,
PIPE-018,15阶段流水线,终态一致性,P0,State,完整任务,无,等待终态。,成功只能PACKAGED+PASS；门禁失败QUALITY_BLOCKED；运行失败FAILED。,状态和quality_status矛盾。,task row+DB,Integration,否,NOT_RUN,,
PIPE-019,15阶段流水线,Provider malformed重试不消耗质量修复预算,P0,Provider,可注入malformed响应的测试,模拟上游格式错误,触发provider解析失败并重试。,provider retry与quality repair计数分离；不会因上游格式问题过早耗尽工程修复预算。,quality attempts错误增加。,retry ledger+日志,Vitest/Integration,否,FIXED_RETEST_REQUIRED,69d05c,
PIPE-020,15阶段流水线,拒绝原因可见,P1,UI/Quality,产生阶段拒绝的受控测试,明确可触发质量问题的候选,观察stage/event/UI。,显示具体rejection/gate reason，不只红色状态。,只有“失败”无原因。,截图+事件,Playwright,否,FIXED_RETEST_REQUIRED,69d05c,
CAD-001,CADCore,STEP解析成功,P0,CAD,上传合法STEP,标准简单实体,启动到G02。,inspection=SUCCEEDED；有几何事实、normalized BREP、报告。,BLOCKED/无报告。,cad-inspections+preview,Integration/UI,是,NOT_RUN,,
CAD-002,CADCore,STL解析成功,P0,CAD,上传合法STL,binary/ascii各1,启动到G02。,识别三角面/边界；派生BREP。,解析失败。,G02报告,Integration,是,NOT_RUN,,
CAD-003,CADCore,坏STEP阻断,P0,CAD,伪造/截断STEP,invalid.step,启动。,G02 BLOCKED；不进入假产品CAD交付。,继续并生成假STEP。,inspection error_code,Integration,是,NOT_RUN,,
CAD-004,CADCore,多产品CAD歧义,P0,Golden,同任务2个STEP/STL,2份产品CAD,运行至G15。,DELIVERY_GOLDEN_PRODUCT_CAD_AMBIGUOUS阻断。,静默选1个。,incident+task state,Integration,是,NOT_RUN,,
CAD-005,CADCore,无CAD模式,P0,Golden,0个CAD,纯文本输入,运行至PACKAGED。,显式NO_PRODUCT_CAD证据模式。,缺声明或出现产品CAD文件。,ZIP 02目录,Validator,是,FIXED_RETEST_PASS,b8889ff,
CAD-006,CADCore,概念CAD标识,P0,Evidence,任意完整任务,无,检查03_整机概念CAD与视图。,概念资产明确ASM_NOT_VERIFIED，不冒充制造实物。,标记PASS/verified制造。,Manifest,Validator,否,NOT_RUN,,
CAD-007,CADCore,浏览器不解析原CAD,P1,Security/UI,有CAD任务,无,检查前端行为。,只显示受控状态/文本JSON预览，不直接执行/解析客户CAD。,浏览器加载原CAD解析器/暴露原文件。,网络请求,Playwright,否,NOT_RUN,,
CAD-008,CADCore,跨用户inspection隔离,P0,Security,A有CAD任务，B登录,task id,B请求cad-inspections。,404/拒绝。,返回inspection。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
CAD-009,CADCore,CAD派生签名,P0,Validation,PACKAGED含真实CAD,ZIP,运行权威validator。,BREP/STEP/STL签名、大小、STEP头全部满足合同。,任一签名不合格仍PASS。,validator输出,Python validator,否,NOT_RUN,,
CAD-010,CADCore,G02报告Safe Preview,P1,UI,CAD SUCCEEDED,report artifact,点击报告预览。,只展示受控文本/JSON；来源SHA可追溯。,空白/原始二进制泄露。,截图,Playwright,否,NOT_RUN,,
PRE-001,Inspector,Internal Workspace切换,P1,UI,已选任务,无,点INTERNAL WORKSPACE。,只显示INTERNAL可见性artifact。,混入客户交付/其他任务。,截图+artifact id,Playwright,否,NOT_RUN,,
PRE-002,Inspector,Safe Preview切换,P0,UI/Security,已选任务,无,点SAFE PREVIEW。,只显示PREVIEW_DERIVATIVE；无原Office/CAD直接下载。,暴露internal源文件。,网络请求,Playwright,否,NOT_RUN,,
PRE-003,Inspector,阶段卡Inspector,P1,UI,有阶段证据,第1/中间/最后阶段,逐个点击阶段卡。,标题/Agent/Gate/事件与当前阶段一致。,显示上个任务/上个阶段。,截图,Playwright,否,NOT_RUN,,
PRE-004,Inspector,技术方案Safe Preview,P0,Delivery,PACKAGED,technical-solution,点击在线预览技术方案。,新页加载可读受控内容，URL为asset标识。,404/旧固定文件名失败。,截图+URL,Playwright,否,HISTORICAL_PASS,,
PRE-005,Inspector,工程数据Safe Preview,P0,Delivery,PACKAGED,engineering-data,点击在线预览工程数据。,受控预览正常。,404/文件名错。,截图,Playwright,否,HISTORICAL_PASS,,
PRE-006,Inspector,非法asset,P0,Security,已登录,asset=../../x,访问preview。,拒绝，不任意读取ZIP条目。,任意文件泄露。,HTTP状态,API,否,NOT_RUN,,
PRE-007,Inspector,跨任务预览隔离,P0,Security,A/B用户,A artifact id,B访问A preview。,拒绝。,泄露。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
PRE-008,Inspector,切换层不残留,P1,UI/Race,PACKAGED任务,Internal→Preview→Delivery→Internal,快速切换。,每层只显示本层内容；无旧HTML闪回。,残留/闪烁。,录屏,Playwright,否,NOT_RUN,,
PRE-009,Inspector,空阶段提示,P2,UI,DRAFT任务,无artifact,点Internal/Preview。,显示清晰空态，不报错。,空白/异常。,截图,Playwright,否,NOT_RUN,,
