用例ID,模块,子模块,优先级,测试类型,前置条件,测试数据,操作步骤,预期结果,失败判定,证据要求,自动化建议,是否修改生产,基线状态,关联Bug/修复,备注
RW-007,返工与恢复,成功冻结自动resolve incident,P1,Ops,有未解决incident的返工,无,返工成功PACKAGED。,相关OPEN/ACK incident自动RESOLVED。,仍OPEN。,ops ledger,Integration,是,NOT_RUN,,
RW-008,返工与恢复,5015 no-CAD返工回归,P0,Regression,历史5015重跑任务,task 43abb382...,执行完整rework。,QUEUED→RUNNING→PACKAGING→PACKAGED/PASS，15/15，validator PASS。,再次卡DELIVERY_GOLDEN_PRODUCT_CAD_REQUIRED。,run 35432199552,Historical,是,FIXED_RETEST_PASS,b8889ff / 35432199552,
ADM-001,任务管理,DRAFT改名,P1,UI,DRAFT,新标题,勾选→改名→确认。,任务行和详情同步新标题。,只改一处/失败。,截图,Playwright,是,NOT_RUN,,
ADM-002,任务管理,DRAFT软删除,P1,UI,DRAFT,无,勾选→删除→确认。,从活动列表消失，DB deleted_at非空。,硬删/仍显示。,UI+DB,Playwright,是,NOT_RUN,,
ADM-003,任务管理,运行中单删阻断,P0,Safety,RUNNING,无,尝试删除。,明确阻断。,成功删除。,提示+状态,Playwright,是,HISTORICAL_PASS,,
ADM-004,任务管理,运行中批删阻断,P0,Safety,选择含RUNNING+终态,多选,批量删除。,整批阻断或按明确规则不删除活动任务。,RUNNING被删。,UI+DB,Playwright,是,HISTORICAL_PASS,,
ADM-005,任务管理,恢复软删除,P1,API/UI,已删除DRAFT,task id,执行restore入口/接口。,仅owner可恢复，回活动列表。,他人可恢复/状态损坏。,响应+UI,API,是,HISTORICAL_PASS,,
ADM-006,任务管理,跨用户删除隔离,P0,Security,A/B账号,A task,B尝试delete/restore。,拒绝。,成功。,HTTP,Vitest,否,HISTORICAL_PASS,,
SEC-001,权限与安全,跨用户任务读取,P0,Security,账号A拥有任务，账号B已登录,A task id,B执行GET task。,返回404/403等拒绝，不泄露存在性/内容。,200或可修改。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
SEC-002,权限与安全,跨用户inputs读取,P0,Security,账号A拥有任务，账号B已登录,A task id,B执行GET inputs。,返回404/403等拒绝，不泄露存在性/内容。,200或可修改。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
SEC-003,权限与安全,跨用户artifacts读取,P0,Security,账号A拥有任务，账号B已登录,A task id,B执行GET artifacts。,返回404/403等拒绝，不泄露存在性/内容。,200或可修改。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
SEC-004,权限与安全,跨用户events读取,P0,Security,账号A拥有任务，账号B已登录,A task id,B执行GET events。,返回404/403等拒绝，不泄露存在性/内容。,200或可修改。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
SEC-005,权限与安全,跨用户retries读取,P0,Security,账号A拥有任务，账号B已登录,A task id,B执行GET retries。,返回404/403等拒绝，不泄露存在性/内容。,200或可修改。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
SEC-006,权限与安全,跨用户rework,P0,Security,账号A拥有任务，账号B已登录,A task id,B执行POST rework。,返回404/403等拒绝，不泄露存在性/内容。,200或可修改。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
SEC-007,权限与安全,跨用户CAD inspections,P0,Security,账号A拥有任务，账号B已登录,A task id,B执行GET cad-inspections。,返回404/403等拒绝，不泄露存在性/内容。,200或可修改。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
SEC-008,权限与安全,跨用户delivery metadata,P0,Security,账号A拥有任务，账号B已登录,A task id,B执行GET delivery。,返回404/403等拒绝，不泄露存在性/内容。,200或可修改。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
SEC-009,权限与安全,跨用户delivery download,P0,Security,账号A拥有任务，账号B已登录,A task id,B执行GET download。,返回404/403等拒绝，不泄露存在性/内容。,200或可修改。,HTTP状态,Vitest/API,否,HISTORICAL_PASS,,
SEC-010,权限与安全,Ops member拒绝,P0,Security,member账号,/api/ops/health,访问ops接口。,403。,200。,HTTP,Vitest/API,否,HISTORICAL_PASS,,
SEC-011,权限与安全,Ops reviewer/admin允许,P1,Security,reviewer/admin账号,ops页面/API,访问health/incidents。,200且仅运维字段，无prompt/文件。,403或泄露敏感字段。,响应抽查,API,否,NOT_RUN,,
SEC-012,权限与安全,Webhook最小数据,P0,Privacy,配置测试webhook,触发incident,检查payload。,仅incident/task/code/severity/source/timestamp。,含prompt、文件、signed URL、key。,Webhook capture,Integration,是,HISTORICAL_PASS,,
