用例ID,模块,子模块,优先级,测试类型,前置条件,测试数据,操作步骤,预期结果,失败判定,证据要求,自动化建议,是否修改生产,基线状态,关联Bug/修复,备注
REL-006,发布,一次性deploy分支不当主线依赖,P1,Release,仓库存在历史deploy branches,无,Codex不从deploy/*继续开发。,只从main建新分支；deploy分支仅审计。,把临时trigger合回main。,branch compare,Manual,否,NOT_RUN,,
REL-007,发布,生产回滚点,P1,Release,已知版本,main@69d05 / worker399f,记录回滚基线。,可定位上一稳定版本。,无法定位。,handoff,Manual,否,NOT_RUN,,
REL-008,发布,QA workflow手动确认,P0,Safety,qa-production-fullflow workflow,confirmation,不输入/输错确认值。,job不运行。,误触生产QA。,Actions,GitHub Actions,否,NOT_RUN,,
HIST-001,5015基准,任务状态,P0,Regression,生产5015任务存在,43abb382-b774-4104-b38e-caee6cdfda44,选择任务。,PACKAGED/PASS/FROZEN。,状态变化。,UI+API,Playwright,否,HISTORICAL_PASS,,
HIST-002,5015基准,ZIP锁定SHA,P0,Regression,下载5015,bf6fb5...,下载并hash。,SHA与锁定值一致。,变化。,SHA,Playwright,否,HISTORICAL_PASS,,
HIST-003,5015基准,15阶段重跑,P0,Regression,历史rework run,35432199552,审计run。,15/15 accepted stage；PACKAGED/PASS。,不完整。,run日志,Historical,否,HISTORICAL_PASS,,
HIST-004,5015基准,人工Word深度,P1,Manual Engineering,新ZIP+历史样本,技术方案DOCX,逐章对比需求特异性、参数、接口、风险、验收。,关键章节不是模板占位；有项目特异内容。,大量泛化模板。,审查评分+批注,Manual,否,NOT_RUN,,validator不能替代
HIST-005,5015基准,人工PPT评审可用性,P1,Manual Engineering,新ZIP+历史样本,31页PPTX,逐页检查图文、决策信息、评审逻辑。,能用于技术评审，不只是目录/占位。,低信息密度。,截图+评分,Manual,否,NOT_RUN,,
HIST-006,5015基准,人工Excel工程密度,P1,Manual Engineering,新ZIP+历史样本,21-sheet XLSX,抽查BOM/DFMEA/IO/CT/成本/验证。,数据和公式具项目意义。,仅公式凑数/空模板。,抽查表,Manual,否,NOT_RUN,,
HIST-007,5015基准,视觉资产质量,P1,Manual Engineering,96+视觉资产,PNG/SVG,检查重复率、信息量、标注可读性。,不是机械复制；能支撑评审。,大量重复/无信息图。,图像抽样,Manual,否,NOT_RUN,,
HIST-008,5015基准,机械/CAD可制造性,P0,Manual Engineering,概念CAD/接口,无,检查尺寸依据、接口假设、制造边界。,未验证处明确；不伪造制造就绪。,无依据尺寸被当事实。,工程审查,Manual,否,NOT_RUN,,
HIST-009,5015基准,FAT/SAT/MSA真实性,P0,Evidence,ZIP,验证章节,检查所有测试结论来源。,未实测必须写计划/待验证，不得伪造PASS。,虚构实测结果。,全文搜索+审查,Manual,否,NOT_RUN,,
HIST-010,5015基准,供应商/报价真实性,P0,Evidence,ZIP,BOM/成本,检查报价/供应商声明。,无真实证据则标假设/预算，不伪造供应商确认。,虚构报价。,抽查,Manual,否,NOT_RUN,,
