用例ID,模块,子模块,优先级,测试类型,前置条件,测试数据,操作步骤,预期结果,失败判定,证据要求,自动化建议,是否修改生产,基线状态,关联Bug/修复,备注
TASK-006,任务生命周期,Prompt边界,P2,UI/API,已登录,短/最大/超长prompt,分别提交。,合法成功；超长明确拒绝。,静默截断。,响应,API/UI,是,NOT_RUN,,
TASK-007,任务生命周期,启动DRAFT,P0,UI,DRAFT任务,无,点击启动一次。,状态进入QUEUED/RUNNING；按钮防双击；workflow_instance_id产生。,仍DRAFT、创建多个workflow、重复扣费。,录屏+DB审计,Playwright+DB,是,NOT_RUN,,
TASK-008,任务生命周期,重复启动阻断,P0,UI/API,RUNNING任务,连续点击/重复POST,尝试第二次启动。,拒绝重复启动；只有一个活动workflow。,生成并发workflow。,响应+DB,Playwright/API,是,NOT_RUN,,
TASK-009,任务生命周期,余额不足启动,P0,Business,低credits测试账号,credits不足,尝试启动。,fail-closed；不排队、不扣负数；明确提示。,启动成功或credits负数。,截图+DB,Manual/API,否,NOT_RUN,,
TASK-010,任务生命周期,MiniMax secret缺失保护,P0,Resilience,仅隔离环境/不可生产破坏,临时环境无MINIMAX_API_KEY,创建并启动。,生产逻辑应拒绝排队/扣费。,任务进入RUNNING。,集成测试,Vitest,否,HISTORICAL_PASS,,
TASK-011,任务生命周期,RUNNING刷新恢复,P1,UI,任务正在RUNNING,无,刷新页面并重新选任务。,进度/当前阶段恢复；不重启任务。,归零或重复workflow。,录屏,Playwright,否,NOT_RUN,,
TASK-012,任务生命周期,终态刷新一致,P1,UI,PACKAGED/FAILED/QUALITY_BLOCKED,3类任务,逐一刷新。,终态持久化；按钮按状态显示。,状态闪回RUNNING/DRAFT。,截图,Playwright,否,NOT_RUN,,
TASK-013,任务生命周期,任务时间戳,P3,Data,任意任务,created/updated,检查UI/接口。,时间合法且随状态变更更新。,逆序或空值。,响应,API,否,NOT_RUN,,
TASK-014,任务生命周期,任务审计事件,P1,Audit,完成创建/启动/返工,task id,读取audit/events。,关键动作有actor、时间、task id；无secret。,缺关键事件或含敏感数据。,DB/API样本,Integration,否,NOT_RUN,,
TASK-015,任务生命周期,多任务并发用户体验,P2,UI,账号存在一个RUNNING和其他终态,无,切换查看其他任务。,RUNNING轮询不阻塞其他任务查看。,全页卡顿/跳回RUNNING任务。,录屏,Playwright,否,NOT_RUN,,
TASK-016,任务生命周期,终态不自动重启,P0,State,PACKAGED任务,等待5分钟,保持页面打开并观察。,不会再次生成workflow/event。,出现新运行。,事件计数,Playwright+DB,否,NOT_RUN,,
UP-001,输入资料,TXT上传,P1,UI,DRAFT,小型txt,上传后创建任务。,文件显示为内部输入；sha/size记录；不暴露下载给客户。,丢文件或公开。,UI+DB,Playwright,是,NOT_RUN,,
UP-002,输入资料,PDF上传,P1,UI,DRAFT,合法PDF,上传。,acceptedInputTypes接受；记录正确。,误拒绝。,UI+DB,Playwright,是,NOT_RUN,,
UP-003,输入资料,DOCX上传,P1,UI,DRAFT,合法DOCX,上传。,接受且保留原名（安全净化后）。,失败/扩展名错。,UI+DB,Playwright,是,NOT_RUN,,
UP-004,输入资料,XLSX上传,P1,UI,DRAFT,合法XLSX,上传。,接受。,失败。,UI,Playwright,是,NOT_RUN,,
UP-005,输入资料,PPTX上传,P1,UI,DRAFT,合法PPTX,上传。,接受。,失败。,UI,Playwright,是,NOT_RUN,,
UP-006,输入资料,PNG/JPEG/WebP上传,P1,UI,DRAFT,3类图片,逐类上传。,接受，类型正确。,错误MIME处理。,UI+DB,Playwright,是,NOT_RUN,,
UP-007,输入资料,STEP/STP上传,P0,CAD,DRAFT,真实小STEP,上传后启动。,自动进入G02 CADCore；inspection状态可见。,未触发CADCore。,UI+cad-inspections,Playwright,是,NOT_RUN,,
UP-008,输入资料,STL上传,P0,CAD,DRAFT,真实STL,上传后启动。,自动G02；解析mesh事实。,未触发或误判。,UI+报告,Playwright,是,NOT_RUN,,
